index,Serial Number,County,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise City,Premise State,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other,Georeference,full_address,lat,lng
15969,1288520,NEW YORK,AX,122,908678,DM CHAUDHARI LLC,7 ELEVEN STORE #35710A,311 BROADWAY,,NEW YORK,NY,10007,09/21/2018,10/31/2021,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,,,POINT(-74.005449 40.71565),"311 BROADWAY, NEW YORK, NY 10007",40.71565,-74.005449
15973,1292465,NEW YORK,OP,252,916396,ERJO COMPANY LLC,CAFETAL SOCIAL CLUB,285 MOTT ST,,NEW YORK,NY,10012,03/16/2020,03/31/2022,"BAR/TAVERN SERVING BEER, WINE, CIDER, & LIQUOR",8a-11p (Sun-Thur);8a-12a (Fri-Sat);Sidewalk Cafe closed by 11p (Sun-Thur) & by 12a (Fri-Sat); Close all doors/windows by 9p,"Recorded Background Music;No Customer Bar, Live Music,DJs,TVs,Promoted Events,Moveable Ropes/Barriers on Sidewalk",POINT(-73.994511 40.724289),"285 MOTT ST, NEW YORK, NY 10012",40.724289,-73.994511
15977,1306739,NEW YORK,OP,252,914393,DREAMY BURGERS AND BEER 51 LLC,CLINTON HALL,230 E 51ST ST ,,NEW YORK,NY,10022,01/17/2020,01/31/2022,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER","CB6 Stips: Close the front door located on the street at 2AM, with operating hours ","Thursday - Saturday extended until 3AM within the hotel. Recorded, Live and DJ Music Permitted and No Dancing",POINT(-73.969104 40.755718),"230 E 51ST ST , NEW YORK, NY 10022",40.755718,-73.969104
15980,1024243,NEW YORK,OP,252,910282,HAVELI RESTAURANT INC,,100 2ND AVENUE,,NEW YORK,NY,10003,09/16/2019,08/31/2021,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,,POINT(-73.98836 40.727112),"100 2ND AVENUE, NEW YORK, NY 10003",40.727112,-73.98836
15986,1316257,NEW YORK,L,222,904078,1650 THIRD AVENUE LIQUORS INC,WINE CASTLE,1654 3RD AVE,,NEW YORK,NY,10128,04/22/2019,01/31/2022,LIQUOR STORE SELLING LIQUOR AND WINE,,,POINT(-73.951241 40.783101),"1654 3RD AVE, NEW YORK, NY 10128",40.783101,-73.951241
15987,1275072,NEW YORK,OP,252,913171,PHIL3PO LLC,TAUREAU LA SIRENE,558 BROOME ST,,NEW YORK,NY,10013,11/26/2019,12/31/2021,"RESTAURANT SERVING LIQUOR, WINE, CIDER & BEER","CB2 Stip:Sun-Thurs5pm-12am Fri-Sat5pm-1am, brunch weekends, major holidays 11am-3:30pm",Recorded music; No dancing,POINT(-74.0057 40.72452),"558 BROOME ST, NEW YORK, NY 10013",40.72452,-74.0057
15989,1028003,NEW YORK,OP,252,914385,10TH AVENUE GROUP INC,44 & X HELL'S KITCHEN,626 10TH AVE,,NEW YORK,NY,10036,01/17/2020,01/31/2022,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR ,,,POINT(-73.994094 40.761152),"626 10TH AVE, NEW YORK, NY 10036",40.761152,-73.994094
15992,1297209,NEW YORK,OP,252,911696,MAGIC LEMON INC,,181 BLEECKER ST,,NEW YORK,NY,10012,10/08/2019,10/31/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER",CB2 Stips:  Sun - Thurs 11am to 11:30pm and Fri - Sat 11am to 12am,"Recorded Music Permitted, No Dancing and Outdoor Service is Prohibited",POINT(-74.000717 40.729155),"181 BLEECKER ST, NEW YORK, NY 10012",40.729155,-74.000717
15994,1117369,NEW YORK,OP,252,908320,DISH RESTAURANT CORP,THE DISH,201 8TH AVENUE,,NEW YORK,NY,10011,07/29/2019,07/31/2021,RESTAURANT SERVING BEER WINE CIDER & LIQUOR,,,POINT(-73.999996 40.743729),"201 8TH AVENUE, NEW YORK, NY 10011",40.743729,-73.999996
15996,1022719,NEW YORK,DX,126,901762,RITE AID OF NEW YORK INC,RITE AID PHARMACY #4971,542 576 2ND AVE,,NEW YORK,NY,10016,06/12/2018,07/31/2021,DRUG STORE SELLING BEER CIDER AND WINE PRODUCTS,,,POINT(-73.976769 40.742702),"542 576 2ND AVE, NEW YORK, NY 10016",40.742702,-73.976769
16000,1307706,NEW YORK,RW,341,842052,MEAT SHOP LLC,THE POINTS WINE & ALE ROOM,76 FORSYTH ST,SOUTH STORE,NEW YORK,NY,10002,03/04/2020,02/28/2022,"RESTAURANT SERVING WINE, BEER & CIDER",Hours of Operation from 11:00am to 12:00am (Sunday  Saturday),Recorded music,POINT(-73.993186 40.717219),"76 FORSYTH ST, NEW YORK, NY 10002",40.717219,-73.993186
16003,1028229,NEW YORK,OP,252,914015,"JEWISH MUSEUM, THE & FOURTH ON FIFTH LLC",,1109 5TH AVE,,NEW YORK,NY,10128,01/03/2020,01/31/2022,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,,POINT(-73.957186 40.785405),"1109 5TH AVE, NEW YORK, NY 10128",40.785405,-73.957186
16004,1267889,NEW YORK,RW,341,841851,MFG ENTERPRISES CORP,ARMONIE,1649 PARK AVE,,NEW YORK,NY,10035,01/10/2020,01/31/2022,RESTAURANT SERVING BEER CIDER AND WINE,,,POINT(-73.94261 40.799729),"1649 PARK AVE, NEW YORK, NY 10035",40.799729,-73.94261
16006,1303202,NEW YORK,OP,252,906335,NYC HARLEM GROUP LLC,TIOS BISTRO,421 LENOX AVE,,NEW YORK,NY,10027,05/22/2019,06/30/2021,"RESTAURANT SERVING LIQUOR, WINE, BEER AND CIDER     ",,Recorded Music,POINT(-73.942975 40.811803),"421 LENOX AVE, NEW YORK, NY 10027",40.811803,-73.942975
16007,1145722,NEW YORK,AX,122,911793,SON'S FREEDOM MARKET INC,,1043 1045 LEXINGTON AVENUE,74TH & 75TH STREETS,NEW YORK,NY,10021,12/24/2018,01/31/2022,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,,,POINT(-73.960827 40.771949),"1043 1045 LEXINGTON AVENUE, NEW YORK, NY 10021",40.771949,-73.960827
16009,1256341,NEW YORK,OP,252,912196,SAIGONNYC LTD,AN CHOI,85 ORCHARD ST UNIT B,BROOME ST & GRAND ST,NEW YORK,NY,10002,10/23/2019,10/31/2021,"RESTAURANT SERVING BEER, CIDER, WINE AND LIQUOR",CB 3 hrs-W-Su 12pm-12am; Th-Sa 12pm-2:00am,"close yard by 9pm, hrs sidewalk cafe Su-Th 12-10pm & F-Sa 12-11pm; facade windows by 10pm; ambient ipod music only",POINT(-73.990486 40.718004),"85 ORCHARD ST UNIT B, NEW YORK, NY 10002",40.718004,-73.990486
16011,1284967,NEW YORK,OP,252,906849,ONE MELON LLC,JG MELON,89 MACDOUGAL ST,,NEW YORK,NY,10012,06/13/2019,06/30/2021,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,CB2 Stips: 10am-2am Daily. Sidew Su-We; 11pm Th-Sa,CB2 Stips: 2 TVs no sound. Quiet Backround Music.Sidewalk Cafe ,POINT(-74.001458 40.729041),"89 MACDOUGAL ST, NEW YORK, NY 10012",40.729041,-74.001458
16012,1198423,NEW YORK,OP,252,912891,JOC CORP,THE WATERING HOLE,106 E 19TH ST,,NEW YORK,NY,10003,11/19/2019,11/30/2021,TAVERN RESTAURANT SERVING LIQUOR WINE CIDER AND BEER,,,POINT(-73.987457 40.737198),"106 E 19TH ST, NEW YORK, NY 10003",40.737198,-73.987457
16016,1188853,NEW YORK,OP,252,908130,MADANGSUI INC,,35 W 35TH STREET,5TH & 6TH AVENUE,NEW YORK,NY,10001,07/23/2019,07/31/2021,RESTAURANT SERVING LIQUOR WINE CIDER AND BEER,,,POINT(-73.985674 40.75001),"35 W 35TH STREET, NEW YORK, NY 10001",40.75001,-73.985674
